filename	instrument	fs	bpm
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts192.00_te207.88_fs8.00.npz	1	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts0.00_te15.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts16.00_te31.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts32.00_te47.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts48.00_te63.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts64.00_te79.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts80.00_te95.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts96.00_te111.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts112.00_te127.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts128.00_te143.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts144.00_te159.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts160.00_te175.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts176.00_te191.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts192.00_te207.88_fs8.00.npz	5	8.00	120.00
Johnny_Gill__Rub_You_the_Right_Way_instr5_ts208.00_te223.88_fs8.00.npz	5	8.00	120.00
Neil_Young__Southern_Man_instr1_ts0.00_te23.23_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts23.41_te46.65_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts46.83_te70.06_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts70.24_te93.48_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts93.66_te116.89_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts117.07_te140.30_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts140.49_te163.72_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts163.90_te187.13_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts187.32_te210.55_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts210.73_te233.96_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts234.15_te257.38_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts257.56_te280.79_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts280.98_te304.21_fs5.47.npz	1	5.47	82.00
Neil_Young__Southern_Man_instr1_ts304.39_te327.62_fs5.47.npz	1	5.47	82.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts0.00_te29.31_fs4.33.npz	1	4.33	65.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts44.31_te71.52_fs4.67.npz	1	4.67	70.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts71.74_te98.95_fs4.67.npz	1	4.67	70.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts109.45_te140.68_fs4.07.npz	1	4.07	61.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts140.93_te172.16_fs4.07.npz	1	4.07	61.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts172.40_te203.63_fs4.07.npz	1	4.07	61.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts203.88_te235.11_fs4.07.npz	1	4.07	61.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts250.11_te277.32_fs4.67.npz	1	4.67	70.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts277.53_te304.75_fs4.67.npz	1	4.67	70.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts315.25_te347.00_fs4.00.npz	1	4.00	60.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts347.25_te379.00_fs4.00.npz	1	4.00	60.00
Neil_Young__Words_(Between_the_Lines_of_Age)_instr1_ts379.25_te411.00_fs4.00.npz	1	4.00	60.00
New_Vaudeville_Band__Winchester_Cathedral_instr0_ts0.00_te15.88_fs8.00.npz	0	8.00	120.00
New_Vaudeville_Band__Winchester_Cathedral_instr0_ts16.00_te31.88_fs8.00.npz	0	8.00	120.00
New_Vaudeville_Band__Winchester_Cathedral_instr0_ts32.00_te47.88_fs8.00.npz	0	8.00	120.00
New_Vaudeville_Band__Winchester_Cathedral_instr0_ts48.00_te63.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts0.00_te15.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts16.00_te31.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts32.00_te47.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts48.00_te63.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts64.00_te79.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts80.00_te95.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts96.00_te111.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts112.00_te127.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts128.00_te143.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts144.00_te159.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Danny_Boy_instr0_ts160.00_te175.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts0.00_te15.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts16.00_te31.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts32.00_te47.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts48.00_te63.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts64.00_te79.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts80.00_te95.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts96.00_te111.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts112.00_te127.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts128.00_te143.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts144.00_te159.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts160.00_te175.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts176.00_te191.88_fs8.00.npz	0	8.00	120.00
Percy_Grainger__Shepherd's_Hey!_instr0_ts192.00_te207.88_fs8.00.npz	0	8.00	120.00
Player__Baby_Come_Back_instr0_ts0.00_te13.14_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts13.24_te26.38_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts26.48_te39.62_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts39.72_te52.86_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts52.97_te66.10_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts66.21_te79.34_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts79.45_te92.59_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts92.69_te105.83_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts105.93_te119.07_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts119.17_te132.31_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts132.41_te145.55_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts145.66_te158.79_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts158.90_te172.03_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts172.14_te185.28_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts185.38_te198.52_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts198.62_te211.76_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts211.86_te225.00_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr0_ts225.10_te238.24_fs9.67.npz	0	9.67	145.00
Player__Baby_Come_Back_instr7_ts145.66_te158.79_fs9.67.npz	7	9.67	145.00
Player__Baby_Come_Back_instr7_ts158.90_te172.03_fs9.67.npz	7	9.67	145.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts19.03_te32.84_fs9.20.npz	3	9.20	138.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts39.90_te47.46_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts47.52_te55.08_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts55.14_te62.70_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts62.76_te70.32_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts70.38_te77.94_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts78.00_te85.56_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts89.62_te103.42_fs9.20.npz	3	9.20	138.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts106.99_te114.55_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts114.61_te122.17_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts122.23_te129.79_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts129.85_te137.41_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts137.47_te145.03_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts145.09_te152.65_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts153.67_te167.47_fs9.20.npz	3	9.20	138.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts167.58_te175.14_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts177.08_te192.20_fs8.40.npz	3	8.40	126.00
Blood,_Sweat_&_Tears__And_When_I_Die_instr3_ts230.94_te238.50_fs16.80.npz	3	16.80	252.00
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr0_ts15.57_te39.38_fs5.33.npz	0	5.33	80.00
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr0_ts123.53_te149.99_fs4.80.npz	0	4.80	72.00
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr0_ts151.87_te175.68_fs5.33.npz	0	5.33	80.00
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts189.37_te198.53_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts198.60_te207.76_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts207.83_te216.99_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts217.06_te226.22_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts226.29_te235.45_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts235.52_te244.68_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts244.76_te253.91_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__God_Bless_the_Child_instr1_ts253.99_te263.15_fs13.87.npz	1	13.87	207.99
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts45.91_te73.12_fs4.67.npz	1	4.67	70.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts73.34_te100.95_fs4.60.npz	1	4.60	69.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts107.84_te133.93_fs4.87.npz	1	4.87	73.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts134.14_te160.23_fs4.87.npz	1	4.87	73.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts160.44_te186.54_fs4.87.npz	1	4.87	73.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts186.74_te212.84_fs4.87.npz	1	4.87	73.00
Blood,_Sweat_&_Tears__Hi-De-Ho_instr1_ts213.04_te239.14_fs4.87.npz	1	4.87	73.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts18.76_te39.93_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts56.23_te77.40_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts77.57_te98.73_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts98.90_te120.07_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts120.23_te141.40_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts141.57_te162.73_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts162.90_te184.07_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__I_Can't_Quit_Her_instr0_ts184.23_te205.40_fs6.00.npz	0	6.00	90.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts0.00_te15.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts16.00_te31.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts32.00_te47.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts48.00_te63.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts64.00_te79.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts80.00_te95.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts96.00_te111.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts112.00_te127.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts128.00_te143.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts144.00_te159.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Sometimes_in_Winter_instr0_ts160.00_te175.88_fs8.00.npz	0	8.00	120.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts0.00_te19.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts20.00_te39.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts40.00_te59.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts60.00_te79.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts80.00_te99.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts100.00_te119.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.1_instr0_ts120.00_te142.95_fs5.53.npz	0	5.53	83.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts4.53_te24.38_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts24.53_te44.38_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts44.53_te64.38_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts64.53_te84.38_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts84.53_te104.38_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts122.03_te131.95_fs12.80.npz	0	12.80	192.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts132.03_te141.95_fs12.80.npz	0	12.80	192.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts142.03_te151.95_fs12.80.npz	0	12.80	192.00
Blood,_Sweat_&_Tears__Spinning_Wheel.2_instr0_ts157.28_te177.13_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts0.00_te19.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts20.00_te39.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts40.00_te59.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts60.00_te79.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts80.00_te99.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts100.00_te119.84_fs6.40.npz	0	6.40	96.00
Blood,_Sweat_&_Tears__Spinning_Wheel_instr0_ts120.00_te142.95_fs5.53.npz	0	5.53	83.00
Blood,_Sweat_&_Tears__You've_Made_Me_So_Very_Happy.1_instr0_ts214.49_te239.89_fs5.00.npz	0	5.00	75.00
Blood,_Sweat_&_Tears__You've_Made_Me_So_Very_Happy.1_instr0_ts240.09_te265.49_fs5.00.npz	0	5.00	75.00
Blood,_Sweat_&_Tears__You've_Made_Me_So_Very_Happy.1_instr0_ts265.69_te291.09_fs5.00.npz	0	5.00	75.00
Queen__A_Kind_of_Magic.3_instr7_ts59.08_te73.73_fs8.67.npz	7	8.67	130.00
Queen__All_God's_People.1_instr1_ts96.99_te118.16_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People.1_instr1_ts118.32_te139.49_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People.1_instr1_ts139.66_te160.82_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People.1_instr1_ts176.82_te197.76_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People.1_instr1_ts197.92_te218.86_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People.2_instr1_ts108.99_te129.92_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People.2_instr1_ts130.09_te151.02_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People.2_instr1_ts176.12_te197.05_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People.2_instr1_ts197.22_te218.15_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People_instr1_ts96.99_te118.16_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People_instr1_ts118.32_te139.49_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People_instr1_ts139.66_te160.82_fs6.00.npz	1	6.00	90.00
Queen__All_God's_People_instr1_ts176.82_te197.76_fs6.07.npz	1	6.07	91.00
Queen__All_God's_People_instr1_ts197.92_te218.86_fs6.07.npz	1	6.07	91.00
Queen__Friends_Will_Be_Friends.1_instr0_ts0.00_te25.40_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts25.60_te51.00_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts51.20_te76.60_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts76.80_te102.20_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts102.40_te127.80_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts128.00_te153.40_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.1_instr0_ts153.60_te179.00_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.2_instr1_ts0.00_te25.74_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts25.95_te51.69_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts51.89_te77.64_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts77.84_te103.58_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts103.78_te129.53_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts129.73_te155.47_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts155.68_te181.42_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr1_ts181.62_te207.36_fs4.93.npz	1	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr6_ts207.57_te233.31_fs4.93.npz	6	4.93	74.00
Queen__Friends_Will_Be_Friends.2_instr6_ts233.51_te259.26_fs4.93.npz	6	4.93	74.00
Queen__Friends_Will_Be_Friends.3_instr6_ts179.20_te204.60_fs5.00.npz	6	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts0.00_te25.40_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts25.60_te51.00_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts51.20_te76.60_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts76.80_te102.20_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts102.40_te127.80_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts128.00_te153.40_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr1_ts153.60_te179.00_fs5.00.npz	1	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr0_ts0.00_te25.40_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr0_ts25.60_te51.00_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr0_ts51.20_te76.60_fs5.00.npz	0	5.00	75.00
Queen__Friends_Will_Be_Friends.3_instr0_ts76.80_te102.20_fs5.00.npz	0	5.00	75.00
